Wall time,Step,Value
1564840040.0576158,5,-0.1355465203523636
1564840859.221379,10,-0.08064384013414383
1564841710.5553503,15,0.06440127640962601
1564842577.1068835,20,0.33766159415245056
1564843435.6870418,25,0.8282762169837952
1564844286.8488133,30,1.215282917022705
1564845153.102615,35,1.8826137781143188
1564845987.5259397,40,2.8454172611236572
1564846812.2646422,45,2.9482107162475586
1564847652.6254487,50,3.0501768589019775
1564848562.1677957,55,3.2391104698181152
1564849396.2813396,60,3.192843198776245
1564850215.9046738,65,3.297927141189575
1564851184.0874486,70,3.32769775390625
1564851979.5523012,75,3.552129030227661
1564852803.9754343,80,3.7019829750061035
1564853749.7303233,85,3.2872776985168457
1564854584.9311254,90,3.74586820602417
1564855434.2722578,95,3.7836170196533203
1564856305.7065318,100,3.8374834060668945
1564857128.5090096,105,3.6949551105499268
1564858013.519043,110,3.835660696029663
1564858843.210219,115,3.7588508129119873
1564859665.516081,120,3.70743989944458
1564860559.3714595,125,3.905801773071289
1564861435.4627635,130,3.670241594314575
1564862297.537831,135,3.860011339187622
1564863137.7925594,140,3.8907904624938965
1564863975.2305067,145,3.9829277992248535
1564864873.8112383,150,3.5553171634674072
1564865689.5657244,155,3.902613401412964
1564866543.361902,160,4.12493371963501
1564867439.3479836,165,3.967815637588501
1564868213.4762714,170,3.9515221118927
1564869175.6747768,175,4.043702602386475
1564870094.462611,180,3.904200792312622
1564870935.5105474,185,4.259850025177002
1564871894.5455234,190,3.8755924701690674
1564872781.9175608,195,4.298393249511719
1564873704.446746,200,4.033317565917969
1564874636.1607282,205,4.29958438873291
1564875523.132403,210,4.059633255004883
1564876456.0592167,215,3.589878797531128
1564877343.9296033,220,4.155756950378418
1564878264.7178125,225,4.311944484710693
1564879167.2425504,230,4.121973991394043
1564880087.4224648,235,4.402690410614014
