Wall time,Step,Value
1564942604.4832602,5,-0.09028562903404236
1564943523.3537955,10,0.2634335160255432
1564944460.3608263,15,0.7829257845878601
1564945399.1001723,20,0.7639399766921997
1564946339.700506,25,0.9195742011070251
1564947276.7143703,30,1.0194085836410522
1564948191.3502612,35,1.3970867395401
1564949135.1918397,40,1.3204962015151978
1564950071.8175547,45,0.788349986076355
1564950967.367368,50,1.4366893768310547
1564951915.8236644,55,1.2719473838806152
1564952835.3024452,60,1.7256935834884644
1564953791.3231165,65,1.6571612358093262
1564954741.2778292,70,1.3950965404510498
1564955619.4278162,75,1.7662206888198853
1564956596.3955867,80,1.4374237060546875
1564957535.8180068,85,1.5800321102142334
1564958427.572677,90,2.1344432830810547
1564959399.2261636,95,1.9455695152282715
1564960322.0460455,100,1.8938026428222656
1564961248.6120882,105,1.8440055847167969
1564962191.652359,110,2.2111833095550537
1564963093.5818903,115,1.7124619483947754
1564964035.6375434,120,1.6216540336608887
1564964966.4311717,125,1.8428212404251099
1564965898.5172722,130,2.006291389465332
1564966831.4799387,135,2.193608283996582
1564967762.5139258,140,2.151533842086792
1564968678.80301,145,2.417884588241577
1564969601.533362,150,2.3070926666259766
1564970536.2686648,155,2.326220989227295
1564971450.2041154,160,2.397204637527466
1564972377.299785,165,2.441840171813965
1564973331.193672,170,2.5126678943634033
1564974242.0641701,175,2.5676214694976807
1564975173.208165,180,2.3299083709716797
1564976124.8007076,185,2.450310230255127
1564977046.871973,190,2.591771125793457
1564977968.6291265,195,2.2210161685943604
1564978904.371252,200,2.490638494491577
1564979833.4812582,205,2.5989232063293457
1564980749.6115303,210,2.3302392959594727
1564981676.8898816,215,2.4656312465667725
1564982611.2148626,220,2.3206026554107666
1564983534.5739062,225,2.350055456161499
1564984486.371409,230,2.37624454498291
1564985403.0652335,235,2.434448003768921
1564986328.4578822,240,2.4574456214904785
1564987265.8902116,245,2.5376880168914795
1564988178.588237,250,2.645009756088257
