Wall time,Step,Value
1564897972.9124358,5,-0.052705176174640656
1564898832.4014752,10,0.21489465236663818
1564899670.682867,15,0.3181137144565582
1564900480.669121,20,0.8016901016235352
1564901362.3204186,25,1.588912010192871
1564902169.3052924,30,1.7533372640609741
1564903009.487669,35,1.5327813625335693
1564903863.145357,40,2.0877552032470703
1564904643.7609465,45,2.2632477283477783
1564905492.439163,50,2.27954363822937
1564906313.3694098,55,2.284780979156494
1564907126.6277418,60,2.5865092277526855
1564908000.055259,65,2.2645740509033203
1564908833.6297011,70,2.643214225769043
1564909682.0424879,75,2.59452748298645
1564910510.8823485,80,2.6400959491729736
1564911322.2365744,85,2.716369867324829
1564912182.8654006,90,2.789835214614868
1564912985.1507978,95,2.8297340869903564
1564913823.6856737,100,2.7462234497070312
1564914664.483316,105,2.9738519191741943
1564915488.1260328,110,3.032162666320801
1564916319.064001,115,2.809215784072876
1564917158.8618681,120,3.084745168685913
1564918010.320822,125,2.9230754375457764
1564918849.9048545,130,3.2050671577453613
1564919725.1081102,135,3.2036657333374023
1564920568.0368166,140,2.9302234649658203
1564921423.28718,145,3.093130350112915
1564922317.976577,150,3.1241252422332764
1564923169.462166,155,3.1434741020202637
1564924134.1870055,160,3.153127670288086
1564925045.7516744,165,3.2750556468963623
1564925954.3840494,170,3.2369384765625
1564926890.1546803,175,3.1701722145080566
1564927801.5039752,180,3.471698522567749
1564928754.4180703,185,3.384824275970459
1564929646.853586,190,3.4143121242523193
1564930562.4975998,195,3.427382230758667
1564931505.478946,200,3.2976837158203125
1564932438.82102,205,3.477942705154419
1564933351.1541572,210,3.454526901245117
1564934274.8809552,215,3.585117816925049
1564935211.9448938,220,3.469688653945923
1564936153.3611853,225,3.3357813358306885
1564937104.1452277,230,3.4574737548828125
1564938030.6329832,235,3.3882367610931396
1564938951.506055,240,3.420710325241089
1564939896.5328825,245,3.3395793437957764
1564940817.1553347,250,3.6716766357421875
